business_slug,offer,prospect_company,email,city_state_country,source_url,source_note,confidence,priority,max_emails_per_business,date_added,cold_mail_status,last_contacted_at,reply_status,notes
msp-security-reporting,Security reporting assistant for managed service providers,CIT Solutions,info@citsolutions.net,"Minneapolis/St. Paul, MN, USA",https://www.citsolutions.net/solutions/managed-services/,Public managed services page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
msp-security-reporting,Security reporting assistant for managed service providers,Dog Bytes Computers,dogbytescomputers@gmail.com,USA,https://dog-bytes.com/managed-it-services.html,Public managed IT page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
msp-security-reporting,Security reporting assistant for managed service providers,24/7 Tech On Call,365techoncall@gmail.com,USA,https://24x7techoncall.com/contact,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
msp-security-reporting,Security reporting assistant for managed service providers,TAC Group,info@thetacgroup.com,USA,https://www.instagram.com/p/DE75zF3B-EY/,Public social/search result; verify before sending,medium,P3,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
msp-security-reporting,Security reporting assistant for managed service providers,powersolution.com,moreinfo@powersolution.com,"NJ, USA",https://www.facebook.com/powersolutiondotcom/photos/still-sharing-the-password-for-info-or-support-that-could-be-costing-your-busine/1674196687605625/,Public social/search result; verify before sending,medium,P3,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
med-spa-lead-recovery,"Med spa lead recovery from forms, calls, SMS, and DMs",Muse Medspa,medspamuse@gmail.com,"Bala Cynwyd, PA, USA",https://www.musemedspausa.com/contact/,Public contact page extracted,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
med-spa-lead-recovery,"Med spa lead recovery from forms, calls, SMS, and DMs",Victoria Heavenly Spa,victoriaheavenlyspa@gmail.com,"Houston, TX, USA",https://www.victoriaheavenlyspa.com/contact/contact-victoria-heavenly-spa-houston-premier-medspa/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
med-spa-lead-recovery,"Med spa lead recovery from forms, calls, SMS, and DMs",Swift Injections,swiftinjectionsbycorrine@gmail.com,"Houston, TX, USA",https://www.swiftinjections.com/contact,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
med-spa-lead-recovery,"Med spa lead recovery from forms, calls, SMS, and DMs",MedSpa At Villagio,medspaatvillagio@gmail.com,"Katy, TX, USA",https://medspaatvillagio.com/,Public site/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
med-spa-lead-recovery,"Med spa lead recovery from forms, calls, SMS, and DMs",Renew Society Medspa,contact.renewsociety@gmail.com,"Richardson, TX, USA",https://www.facebook.com/p/Renew-Society-Medspa-100083657066508/,Public social/search result; verify before sending,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
med-spa-lead-recovery,"Med spa lead recovery from forms, calls, SMS, and DMs",Studio N MedSpa,studio.n.inc@gmail.com,"Philadelphia, PA, USA",https://www.studionphilly.com/contact,Public contact/careers page/search result,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
med-spa-lead-recovery,"Med spa lead recovery from forms, calls, SMS, and DMs",AVOUS Medspa & Wellness,avousmedspa@gmail.com,"Fort Myers, FL, USA",https://avousmedspa.com/contact/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
med-spa-lead-recovery,"Med spa lead recovery from forms, calls, SMS, and DMs",Flow IV Medspa,flowivmedspa@gmail.com,"Santa Rosa, CA, USA",https://www.flowivmedspa.com/contact,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
law-firm-intake-triage,Legal intake triage and case-fit summary for small law firms,Law Office of Steven Wittekiend,swittlaw@gmail.com,"Burnet, TX, USA",https://www.swittlaw.com/,Public law firm site/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
law-firm-intake-triage,Legal intake triage and case-fit summary for small law firms,Blake Law Office,blakelawinfo@gmail.com,"Galesburg, IL, USA",https://theblakelaw.com/contact-us/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
law-firm-intake-triage,Legal intake triage and case-fit summary for small law firms,Park Law Office,parklawoffice2006@gmail.com,"Greenup, IL, USA",https://www.shonaparklawoffice.com/,Public law firm site/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
law-firm-intake-triage,Legal intake triage and case-fit summary for small law firms,Law Office of Frank Huerta Jr.,fhjrlaw@gmail.com,"Fresno, CA, USA",https://www.frankhuertalaw.com/sitemap/,Public law firm site/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
law-firm-intake-triage,Legal intake triage and case-fit summary for small law firms,Stockman Law Office,stockmaninjurylaw@gmail.com,"Duluth, MN, USA",https://www.stockmaninjurylaw.com/,Public law firm site/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
chiropractic-reactivation-engine,Inactive patient reactivation workflow for chiropractic clinics,Strickland Chiropractic Clinic,stricklandchiro@gmail.com,"Huntsville, AL, USA",https://www.stricklandchiropractic.com/contact,Public contact page extracted,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
chiropractic-reactivation-engine,Inactive patient reactivation workflow for chiropractic clinics,Great America Chiropractic,drlinchiro.pi@gmail.com,"San Jose, CA, USA",https://www.greatamericachiro.com/contact-us/,Public contact page/search result,medium,P2,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
chiropractic-reactivation-engine,Inactive patient reactivation workflow for chiropractic clinics,Core Chiropractic,springsccfrontdesk@gmail.com,"Colorado Springs, CO, USA",https://springscorechiro.com/contact-us/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
chiropractic-reactivation-engine,Inactive patient reactivation workflow for chiropractic clinics,ALIGNance Chiropractic,dr.katiesv@gmail.com,"Kansas City, KS, USA",https://www.alignancechiro.com/contact,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
chiropractic-reactivation-engine,Inactive patient reactivation workflow for chiropractic clinics,Seattle Chiropractic Spine & Injury Center,seattlechiropractic@gmail.com,"Seattle, WA, USA",https://www.seattlechiropracticspineandinjurycenter.com/contactus,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
chiropractic-reactivation-engine,Inactive patient reactivation workflow for chiropractic clinics,Downtown Louisville Chiropractic & Rehab,downtown.chirorehab@gmail.com,"Louisville, KY, USA",https://downtown-louisville-chiropractic.com/contact-us/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
chiropractic-reactivation-engine,Inactive patient reactivation workflow for chiropractic clinics,Chiropractic Wellness Center,cwcfamilychiro@gmail.com,"Kansas City, MO, USA",https://www.cwc-familychiro.com/contact,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
chiropractic-reactivation-engine,Inactive patient reactivation workflow for chiropractic clinics,True Health Chiropractic Clinic,drdominicmeans@gmail.com,"Sioux Falls, SD, USA",https://www.siouxfallssdchiropractor.com/contact-us,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
chiropractic-reactivation-engine,Inactive patient reactivation workflow for chiropractic clinics,Grain Valley Chiropractic,grainvalleychiro@gmail.com,"Grain Valley, MO, USA",https://www.gvcchiro.com/contact-us/,Public contact page/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
restaurant-catering-followup,Catering inquiry follow-up and event-value tracking for restaurants,The Smith Restaurant,catering@thesmithrestaurant.com,"NYC / Washington DC / Chicago, USA",https://thesmithrestaurant.com/catering/,Public catering page extracted,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
restaurant-catering-followup,Catering inquiry follow-up and event-value tracking for restaurants,Millersville University Catering Services,catering@millersville.edu,"Millersville, PA, USA",https://www.millersville.edu/dining/catering.php,Public catering page/search result; not restaurant but useful process example,medium,P3,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
restaurant-catering-followup,Catering inquiry follow-up and event-value tracking for restaurants,Hot Coals Catering,catering@hotcoals.com.au,Australia,https://www.instagram.com/p/DYZRCb5ju9j/,"Public social/search result; non-US, verify before sending",medium,P3,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
b2b-podcast-repurposing-system,Podcast-to-content repurposing workflow for B2B teams,Speakerbox Media,studio@speakerboxmedia.com,"Austin, TX, USA",https://speakerboxmedia.com/,Public site/search result,high,P1,100,2026-06-08,not_contacted,,,Publicly listed contact; verify freshness and comply with CAN-SPAM/GDPR before sending.
